상위코드	분야	하위코드	부문	2014	2013	2012	2011	2010	2009	비고
10	일반공공행정	11	입법및선거관리	19,459,925	23,312,689	20,215,354	16,583,319	20,082,923	17,166,537	
10	일반공공행정	13	지방행정ㆍ재정지원	3,200,888,421	3,063,409,779	2,948,534,976	2,845,756,437	2,845,014,120	3,193,406,229	
10	일반공공행정	14	재정ㆍ금융	325,180,037	187,760,096	399,162,335	571,845,623	427,612,800	17,058,400	
10	일반공공행정	16	일반행정	554,098,089	502,961,118	548,258,572	672,128,633	506,355,533	391,992,032	
20	공공질서및안전	23	경찰	1,171,401	1,124,761	1,302,972	1,232,356	1,757,872	1,882,220	
20	공공질서및안전	25	재난방재ㆍ민방위	148,558,190	136,723,097	118,591,582	108,838,164	126,118,702	117,912,556	
50	교육	51	유아및초중등교육	2,571,146,075	2,541,323,221	2,623,581,520	2,596,441,463	2,436,503,050	2,447,966,345	
50	교육	52	고등교육	42,902,083	43,072,123	47,575,485	29,264,213	50,493,602	42,573,390	
50	교육	53	평생ㆍ직업교육	6,516,233	6,080,888	5,296,158	5,117,006	18,297,320	25,410,400	
60	문화및관광	61	문화예술	197,274,929	201,037,580	255,873,257	227,795,941	291,537,696	271,706,581	
60	문화및관광	62	관광	34,125,437	41,925,605	64,760,569	58,607,534	61,401,189	203,860,658	
60	문화및관광	63	체육	181,850,604	160,476,374	135,917,406	129,936,708	113,994,535	111,575,037	
60	문화및관광	64	문화재	84,810,813	85,242,456	55,643,114	62,772,737	63,019,365	72,226,750	
60	문화및관광	65	문화및관광일반	0	0	0	0	20,932,000	0	2010년에만 존재
70	환경보호	71	상하수도ㆍ수질	1,304,073,060	1,245,047,836	1,276,444,458	1,118,610,413	1,122,958,720	1,301,879,077	
70	환경보호	72	폐기물	133,152,335	127,767,082	101,472,324	108,285,394	109,469,956	147,747,918	
70	환경보호	73	대기	382,691,703	380,603,744	379,767,270	389,100,866	460,879,700	437,713,790	
70	환경보호	74	자연	36,366,162	45,605,260	54,958,221	25,580,000	37,232,867	57,624,831	
70	환경보호	76	환경보호일반	86,306,073	84,585,880	75,434,800	70,033,472	215,430,954	430,177,659	
80	사회복지	82	취약계층지원	2,641,721,184	2,706,890,988	2,385,276,865	2,283,931,176	2,028,804,846	2,205,604,002	
80	사회복지	84	보육ㆍ가족및여성	1,831,554,942	1,688,189,640	1,016,136,519	795,266,596	675,434,643	558,241,563	
80	사회복지	85	노인ㆍ청소년	1,321,149,171	998,627,239	890,360,411	883,198,290	826,652,939	942,083,810	
80	사회복지	86	노동	96,987,684	82,301,978	146,517,461	133,496,606	188,796,344	446,309,202	
80	사회복지	88	주택	1,095,306,060	1,550,423,283	1,166,316,130	884,365,782	791,289,248	1,258,370,174	
80	사회복지	89	사회복지일반	32,768,409	35,504,850	0	0	0	0	2013년에 신설
90	보건	91	보건의료	290,777,119	293,452,054	267,723,852	294,285,624	414,160,113	410,340,800	
90	보건	93	식품의약안전	5,972,953	4,716,402	2,127,759	2,022,232	859,914	247,099	
100	농림해양수산	101	농업ㆍ농촌	99,324,255	54,331,996	69,253,952	72,485,142	14,801,740	11,535,662	
110	산업ㆍ중소기업	113	무역및투자유치	9,903,288	8,048,193	9,395,600	3,346,310	2,487,791	2,158,955	
110	산업ㆍ중소기업	114	산업진흥ㆍ고도화	154,738,295	199,131,968	169,193,585	152,184,022	12,004,000	9,982,900	
110	산업ㆍ중소기업	116	산업ㆍ중소기업일반	38,958,150	43,739,272	36,489,935	32,879,239	172,698,423	243,844,250	
110	산업ㆍ중소기업	111	산업금융지원	0	0	3,269,221,070	3,394,844,670	32,651,228	41,228,419	2011년까지 존재
120	수송및교통	121	도로	884,229,827	875,370,152	720,267,236	674,683,233	1,052,010,282	1,303,090,561	
120	수송및교통	123	도시철도	642,127,311	458,968,573	280,849,732	232,534,995	585,237,102	468,472,026	
120	수송및교통	126	대중교통ㆍ물류등기타	2,351,586,454	2,543,772,682	2,268,104,102	2,487,626,442	2,200,991,216	3,262,180,463	
140	국토및지역개발	141	수자원	227,419,600	254,065,874	263,640,206	114,422,497	193,973,209	239,742,960	
140	국토및지역개발	142	지역및도시	1,807,330,820	1,625,445,658	1,563,956,587	1,563,814,253	1,862,824,488	2,185,717,823	
140	국토및지역개발	143	산업단지	456,614	50,372,096	2,496,186	2,818,984	6,212,938	8,908,162	
160	예비비	161	예비비	153,118,076	94,135,188	135,144,616	152,558,407	137,743,288	142,944,914	
900	기타	901	기타	1,417,329,968	1,343,496,914	1,276,858,893	1,196,062,820	1,128,573,344	1,122,922,791	
