User,Tag,Action,Target,Time,ObjectId
18.111.52.185,budget,select,______Ê,1.41075E+12,
18.111.52.185,issue,deselect,__ __,1.41075E+12,
127.0.0.1,issue,deselect,__ __,1.41075E+12,
18.111.52.185,issue,deselect,__ __,1.41075E+12,
127.0.0.1,service,select,______ __,1.41075E+12,
127.0.0.1,issue,deselect,__ __,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
127.0.0.1,issue,deselect,__ __,1.41075E+12,
127.0.0.1,issue,deselect,__ __,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
18.111.52.185,budget,select,____Ê,1.41075E+12,
18.111.52.185,budget,select,______Ê,1.41075E+12,
18.111.52.185,budget,select,______Ê,1.41075E+12,
18.111.52.185,budget,select,______Ê,1.41075E+12,
18.111.52.185,budget,select,______Ê,1.41075E+12,
18.111.52.185,service,select,______ __,1.41075E+12,
18.111.52.185,service,deselect,______ __,1.41075E+12,
18.111.52.185,service,select,______ __,1.41075E+12,
18.111.52.185,service,select,______ ____,1.41075E+12,
18.111.52.185,budget,deselect,______Ê,1.41075E+12,
18.111.52.185,service,select,_____,1.41075E+12,
18.111.52.185,service,deselect,_____,1.41075E+12,
65.112.10.211,issue,deselect,__ __,1.41075E+12,
65.112.10.211,service,select,_____,1.41075E+12,
127.0.0.1,issue,deselect,__ __,1.41075E+12,
127.0.0.1,issue,deselect,__ __,1.41075E+12,
175.208.240.5,issue,deselect,__ __,1.41075E+12,
143.248.249.20,budget,select,____Ê,1.41075E+12,
143.248.249.20,budget,select,_________Ê,1.41075E+12,
143.248.249.20,budget,select,______Ê,1.41075E+12,
143.248.249.20,budget,select,______Ê,1.41075E+12,
143.248.249.20,budget,select,______Ê,1.41075E+12,
143.248.249.20,budget,select,______Ê,1.41075E+12,
182.253.64.38,issue,deselect,__ __,1.41075E+12,
182.253.64.38,budget,select,______Ê,1.41075E+12,
182.253.64.38,budget,select,______Ê,1.41075E+12,
182.253.64.38,budget,deselect,______Ê,1.41075E+12,
182.253.64.38,budget,select,______Ê,1.41075E+12,
223.62.212.113,budget,select,___Ê,1.41075E+12,
98.192.0.215,issue,deselect,__ __,1.41075E+12,
98.192.0.215,budget,select,_________Ê,1.41075E+12,
67.165.106.201,service,select,___ ____ __,1.41075E+12,
98.192.0.215,service,select,_______ __,1.41075E+12,
67.165.106.201,service,select,_____ __,1.41075E+12,
98.192.0.215,service,moreinfo,_______ __,1.41075E+12,
98.192.0.215,budget,select,____Ê,1.41075E+12,
98.192.0.215,budget,select,______Ê,1.41075E+12,
98.192.0.215,service,select,___ ___(__),1.41075E+12,
67.188.92.127,issue,deselect,__ __,1.41075E+12,
182.253.64.38,budget,select,______Ê,1.41075E+12,
182.253.64.38,budget,select,____Ê,1.41075E+12,
182.253.64.38,budget,select,______Ê,1.41075E+12,
